MJD,date,state,r_x,r_y,r_z,v_x,v_y,v_z,v_inf_x,v_inf_y,v_inf_z,dv_x,dv_y,dv_z
6.0760530685474318e+04,2025-03-26,Deep Space,2.4828423962391155e-01,2.9417935534124515e+00,1.5112405049274249e-02,-1.2338471787674431e+01,1.7534922653385369e+01,4.0219845420345283e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0765480110334203e+04,2025-03-30,Deep Space,2.1298151602251192e-01,2.9915075237900854e+00,1.5225274211094078e-02,-1.2360684162762627e+01,1.7249393742301507e+01,3.8759848374350772e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0770429535194082e+04,2025-04-04,Deep Space,1.7762147319179156e-01,3.0404175378256220e+00,1.5334051344833781e-02,-1.2378637305090667e+01,1.6972360891110473e+01,3.7356277638013517e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0775378960053960e+04,2025-04-09,Deep Space,1.4221577492728832e-01,3.0885473279267348e+00,1.5438893225277497e-02,-1.2392683335844643e+01,1.6703440249517605e+01,3.6006007689355156e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0780328384913839e+04,2025-04-14,Deep Space,1.0677512525247157e-01,3.1359195600100889e+00,1.5539948010225870e-02,-1.2403142235044339e+01,1.6442269275619736e+01,3.4706131953230725e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0785277809773725e+04,2025-04-19,Deep Space,7.1309355458454515e-02,3.1825558926235358e+00,1.5637355840267094e-02,-1.2410305157815689e+01,1.6188505492970279e+01,3.3453944828943635e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0790227234633603e+04,2025-04-24,Deep Space,3.5827502220868279e-02,3.2284770325902397e+00,1.5731249389544393e-02,-1.2414437369645160e+01,1.5941825300896241e+01,3.2246925349994716e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0795176659493482e+04,2025-04-29,Deep Space,3.3787781298966202e-04,3.2737027873329660e+00,1.5821754371961799e-02,-1.2415780848439729e+01,1.5701922841847088e+01,3.1082722321674850e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0800126084353367e+04,2025-05-04,Deep Space,-3.5151866692936240e-02,3.3182521140444776e+00,1.5908990006848346e-02,-1.2414556594782800e+01,1.5468508927583271e+01,2.9959140795893350e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0805075509213246e+04,2025-05-09,Deep Space,-7.0634684454586871e-02,3.3621431658730820e+00,1.5993069447717917e-02,-1.2410966686252127e+01,1.5241310024557144e+01,2.8874129755534869e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0810024934073124e+04,2025-05-14,Deep Space,-1.0610408143255823e-01,3.4053933352917238e+00,1.6074100177413925e-02,-1.2405196106918893e+01,1.5020067297783395e+01,2.7825770892663797e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0814974358933003e+04,2025-05-19,Deep Space,-1.4155406990434671e-01,3.4480192948158779e+00,1.6152184372613815e-02,-1.2397414379064923e+01,1.4804535711744606e+01,2.6812268375993417e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0819923783792889e+04,2025-05-24,Deep Space,-1.7697912638837532e-01,3.4900370352305647e+00,1.6227419240383775e-02,-1.2387777020640499e+01,1.4594483186358326e+01,2.5831939513207822e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0824873208652767e+04,2025-05-29,Deep Space,-2.1237415350988420e-01,3.5314619014806610e+00,1.6299897329218022e-02,-1.2376426848957314e+01,1.4389689805689615e+01,2.4883206222996446e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0829822633512646e+04,2025-06-03,Deep Space,-2.4773444539526790e-01,3.5723086263716555e+00,1.6369706816765531e-02,-1.2363495148497558e+01,1.4189947076883650e+01,2.3964587240078036e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0834772058372524e+04,2025-06-08,Deep Space,-2.8305565622928297e-01,3.6125913622207118e+00,1.6436931776239110e-02,-1.2349102718463524e+01,1.3995057236682959e+01,2.3074690984102770e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0839721483232410e+04,2025-06-13,Deep Space,-3.1833377165131749e-01,3.6523237105901982e+00,1.6501652423313907e-02,-1.2333360813739546e+01,1.3804832602858554e+01,2.2212209030194833e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0844670908092288e+04,2025-06-18,Deep Space,-3.5356508270354281e-01,3.6915187502283109e+00,1.6563945345153753e-02,-1.2316371991247165e+01,1.3619094967902184e+01,2.1375910125086724e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0849620332952167e+04,2025-06-23,Deep Space,-3.8874616207586477e-01,3.7301890633338273e+00,1.6623883713051454e-02,-1.2298230872207842e+01,1.3437675032384570e+01,2.0564634698365555e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
